Job Title,Location,Salary,Monthly Salary,Locality,City,State,JobText
Robotics / STEM Trainer,"Indore, Madhya Pradesh","₹1,80,000 - ₹3,60,000 a year",270000.0,,Indore,Madhya Pradesh,Robotics / STEM Trainer
HTML Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,HTML Developers - Freshers
Java Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,Java Developers - Freshers
"Teachers - Pre-Primary and Primary (English, Mathematics, EVS and Computers)","Pulivendla, Andhra Pradesh","₹20,000 - ₹30,000 a month",25000.0,,Pulivendla,Andhra Pradesh,"Teachers - Pre-Primary and Primary (English, Mathematics, EVS and Computers)"
College Student,Remote,"₹15,000 - ₹20,000 a month",17500.0,Remote,Remote,Remote,College Student
Software Testers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,Software Testers - Freshers
Web Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,Web Developer - Freshers
Computer Operator and Data Entry - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,Computer Operator and Data Entry - Freshers
Back Office Assistant,Remote,"₹14,678 - ₹22,689 a month",18683.5,Remote,Remote,Remote,Back Office Assistant
Customer Service Officer,Remote,"From ₹12,800 a month",,Remote,Remote,Remote,Customer Service Officer
Recruiter,Remote,"₹12,000 - ₹25,000 a month",18500.0,Remote,Remote,Remote,Recruiter
Sales Advisor_ Work From Home,Remote,"₹10,000 - ₹25,000 a month",17500.0,Remote,Remote,Remote,Sales Advisor_ Work From Home
Junior Python Developer,"Kochi, Kerala","₹35,000 - ₹55,000 a month",45000.0,,Kochi,Kerala,Junior Python Developer
Customer Support - Trainee,Remote,"₹3,00,000 - ₹6,00,000 a year",450000.0,Remote,Remote,Remote,Customer Support - Trainee
Fresher KYC Verification Executive,"Indraprastha H.O, Delhi, Delhi","₹17,000 - ₹23,000 a month",20000.0,Indraprastha H.O,Delhi,Delhi,Fresher KYC Verification Executive
Trainee,"Powai, Mumbai, Maharashtra","₹4,00,000 - ₹6,00,000 a year",500000.0,Powai,Mumbai,Maharashtra,Trainee
Chat Support Representative- Mohali,"Mohali, Punjab","₹30,000 - ₹35,000 a month",32500.0,,Mohali,Punjab,Chat Support Representative- Mohali
"Fresher (ITI , Diploma or Any Degree)","Erode, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,,Erode,Tamil Nadu,"Fresher (ITI , Diploma or Any Degree)"
Python Intern Trainee,"Kulasegaram, Tamil Nadu","₹8,500 - ₹22,000 a month",15250.0,,Kulasegaram,Tamil Nadu,Python Intern Trainee
Software Engineer Trainee - Freshers,"Tirunelveli, Tamil Nadu",Not specified,,,Tirunelveli,Tamil Nadu,Software Engineer Trainee - Freshers
Programmer Trainee,Remote,"From ₹2,71,362.01 a year",,Remote,Remote,Remote,Programmer Trainee
Quality Analyst,Remote,"₹2,80,000 - ₹3,50,000 a year",315000.0,Remote,Remote,Remote,Quality Analyst
